date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:11:03	44/44	---M--	200	added ('OK')	text/plain	etag:%222c-61a3e8317abc4%22	https://cleancreations.com/robots.txt		(from )
17:11:06	182663/182663	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Jun%202024%2012:11:01%20GMT	https://cleancreations.com/	C:/My%20group/2ND/cleancreations.com/index.html	(from )
17:11:18	181462/181462	---M--	200	added ('OK')	image/jpeg	etag:%222c4d6-5d91b12b8ba01%22	https://cleancreations.com/data/config/image_placeholder.jpg?md=5aa06eb7aa5a83d1992520b885d63182	C:/My%20group/2ND/cleancreations.com/data/config/image_placeholder9539.jpg	(from https://cleancreations.com/)
17:11:22	159638/159638	---M-Z	200	added ('OK')	application/javascript	etag:%2226f96-61a3e83147f43-gzip%22	https://cleancreations.com/assets/js/charts/Chart.min.js	C:/My%20group/2ND/cleancreations.com/assets/js/charts/Chart.min.js	(from https://cleancreations.com/)
17:11:23	1895/1895	---M-Z	200	added ('OK')	text/css	etag:%22767-61a3e8309b19e-gzip%22	https://cleancreations.com/assets/css/ajax/libs/slick-carousel/1.5.9/slick.min.css	C:/My%20group/2ND/cleancreations.com/assets/css/ajax/libs/slick-carousel/1.5.9/slick.min.css	(from https://cleancreations.com/)
17:11:23	3349/3349	---M-Z	200	added ('OK')	text/css	etag:%22d15-61a3e8309b19e-gzip%22	https://cleancreations.com/assets/css/ajax/libs/slick-carousel/1.5.9/slick-theme.min.css	C:/My%20group/2ND/cleancreations.com/assets/css/ajax/libs/slick-carousel/1.5.9/slick-theme.min.css	(from https://cleancreations.com/)
17:11:24	13872/13872	---M-Z	200	added ('OK')	text/css	etag:%223630-61a3e8309b19e-gzip%22	https://cleancreations.com/assets/css/ajax/libs/swiper/swiper-bundle.min.css	C:/My%20group/2ND/cleancreations.com/assets/css/ajax/libs/swiper/swiper-bundle.min.css	(from https://cleancreations.com/)
17:11:25	2376/2376	---M-Z	200	added ('OK')	text/css	etag:%22948-61a3e83165404-gzip%22	https://cleancreations.com/assets/js/lightbox/css/jquery.lightbox-0.5.css	C:/My%20group/2ND/cleancreations.com/assets/js/lightbox/css/jquery.lightbox-0.5.css	(from https://cleancreations.com/)
17:11:25	57184/57184	---M-Z	200	added ('OK')	text/css	etag:%22df60-61a3e8309c13e-gzip%22	https://cleancreations.com//assets/css/fontawesome.min.css	C:/My%20group/2ND/cleancreations.com/assets/css/fontawesome.min.css	(from https://cleancreations.com/)
17:11:27	57873/57873	---M-Z	200	added ('OK')	text/css	etag:%22e211-61a3e8309d0df-gzip%22	https://cleancreations.com//assets/css/fontawesome/fontawesome.min.css	C:/My%20group/2ND/cleancreations.com/assets/css/fontawesome/fontawesome.min.css	(from https://cleancreations.com/)
17:11:27	675/675	---M-Z	200	added ('OK')	text/css	etag:%222a3-61a3e8309d0df-gzip%22	https://cleancreations.com//assets/css/fontawesome/brands.min.css	C:/My%20group/2ND/cleancreations.com/assets/css/fontawesome/brands.min.css	(from https://cleancreations.com/)
17:11:28	112661/112661	---M-Z	200	added ('OK')	text/css	etag:%221b815-61a3e8309e07f-gzip%22	https://cleancreations.com/assets/css/material-kit.css	C:/My%20group/2ND/cleancreations.com/assets/css/material-kit.css	(from https://cleancreations.com/)
17:11:30	121195/121195	---M-Z	200	added ('OK')	text/css	etag:%221d96b-61a3e8309c13e-gzip%22	https://cleancreations.com/assets/css/bootstrap.min.css	C:/My%20group/2ND/cleancreations.com/assets/css/bootstrap.min.css	(from https://cleancreations.com/)
17:11:30	17851/17851	---M-Z	200	added ('OK')	text/css	etag:%2245bb-61a3e8309c13e-gzip%22	https://cleancreations.com/assets/css/custom.datatables.min.css	C:/My%20group/2ND/cleancreations.com/assets/css/custom.datatables.min.css	(from https://cleancreations.com/)
17:11:31	4188/4188	---M-Z	200	added ('OK')	text/css	etag:%22105c-61a3e8309c13e-gzip%22	https://cleancreations.com/assets/css/dataTables.bootstrap.min.css	C:/My%20group/2ND/cleancreations.com/assets/css/dataTables.bootstrap.min.css	(from https://cleancreations.com/)
